date,open,high,low,close,ffr,nfp,y,arah
1/1/2015,1184,1220,1169.5,1210.599976,0.25,259,1234.400024,Naik
1/8/2015,1207,1243.800049,1206.300049,1234.400024,0.25,259,1293.699951,Naik
1/15/2015,1231.5,1303.5,1227.300049,1293.699951,0.25,259,1285.900024,Turun
1/22/2015,1293.199951,1302.099976,1277.199951,1285.900024,0.25,259,1263.800049,Turun
1/29/2015,1283.300049,1285.400024,1251,1263.800049,0.25,259,1219,Turun
2/5/2015,1271.800049,1272.599976,1219,1219,0.25,259,1199.699951,Turun
2/12/2015,1217.900024,1234,1197.800049,1199.699951,0.25,259,1201,Naik
2/19/2015,1216.5,1220,1191.599976,1201,0.25,259,1200.599976,Turun
2/26/2015,1204.800049,1222.699951,1195,1200.599976,0.25,259,1150.699951,Turun
3/5/2015,1201.699951,1205.400024,1147.699951,1150.699951,0.25,259,1151.400024,Naik
3/12/2015,1155.400024,1174.300049,1144.300049,1151.400024,0.25,259,1197.300049,Naik
3/19/2015,1171.599976,1199.199951,1159.300049,1197.300049,0.25,259,1208.099976,Naik
3/26/2015,1198.199951,1213.699951,1178.199951,1208.099976,0.25,259,1203.099976,Turun
4/2/2015,1204,1224.199951,1194.800049,1203.099976,0.25,259,1201.5,Turun
4/9/2015,1201.699951,1209.599976,1184.099976,1201.5,0.25,96,1186.900024,Turun
4/16/2015,1204.300049,1208.5,1185.199951,1186.900024,0.25,96,1209.800049,Naik
4/23/2015,1187.199951,1214,1174.599976,1209.800049,0.25,96,1190.300049,Turun
4/30/2015,1203.099976,1205.900024,1170,1190.300049,0.25,96,1218.400024,Naik
5/7/2015,1181.5,1218.400024,1179.300049,1218.400024,0.25,273,1208.900024,Turun
5/14/2015,1214.5,1228.099976,1205.099976,1208.900024,0.25,273,1185.900024,Turun
5/21/2015,1204.5,1211.900024,1185.900024,1185.900024,0.25,273,1184.699951,Turun
5/28/2015,1187.099976,1204,1179.099976,1184.699951,0.25,273,1186.099976,Naik
6/4/2015,1184.900024,1190.099976,1164,1186.099976,0.25,273,1176.400024,Turun
6/11/2015,1183.199951,1188.5,1172.699951,1176.400024,0.25,342,1172.599976,Turun
6/18/2015,1183.400024,1203.099976,1170.699951,1172.599976,0.25,342,1169,Turun
6/25/2015,1175.800049,1186,1166.599976,1169,0.25,342,1163.300049,Turun
7/2/2015,1166.400024,1173,1146.400024,1163.300049,0.25,342,1147.199951,Turun
7/9/2015,1154.800049,1163.599976,1144.800049,1147.199951,0.25,171,1091.400024,Turun
7/16/2015,1146.199951,1146.199951,1086,1091.400024,0.25,171,1092.699951,Naik
7/23/2015,1097.400024,1102.5,1078.599976,1092.699951,0.25,171,1085.699951,Turun
7/30/2015,1096.099976,1102.800049,1079.099976,1085.699951,0.25,171,1123.199951,Naik
8/6/2015,1084.400024,1124.5,1081.699951,1123.199951,0.25,171,1128.099976,Naik
8/13/2015,1124.300049,1134.300049,1110,1128.099976,0.25,282,1124.599976,Turun
8/20/2015,1132.800049,1169,1119.599976,1124.599976,0.25,282,1132.5,Naik
8/27/2015,1127.199951,1144.699951,1118.400024,1132.5,0.25,282,1102.199951,Turun
9/3/2015,1130.300049,1132.900024,1102.099976,1102.199951,0.25,282,1119.199951,Naik
9/10/2015,1107.300049,1119.900024,1098.199951,1119.199951,0.25,134,1131.599976,Naik
9/17/2015,1118.599976,1141.199951,1117.099976,1131.599976,0.25,134,1115.5,Turun
9/24/2015,1133,1155.900024,1112.099976,1115.5,0.25,134,1149,Naik
10/1/2015,1115.199951,1152.900024,1105.800049,1149,0.25,134,1180.099976,Naik
10/8/2015,1142.699951,1189,1138.699951,1180.099976,0.25,150,1167.599976,Turun
10/15/2015,1184.199951,1188.300049,1164.900024,1167.599976,0.25,150,1177.099976,Naik
10/22/2015,1166.199951,1182.699951,1162,1177.099976,0.25,150,1106.5,Turun
10/29/2015,1158,1162,1106.5,1106.5,0.25,150,1084.699951,Turun
11/5/2015,1107.900024,1110.699951,1084.199951,1084.699951,0.25,150,1068.800049,Turun
11/12/2015,1086,1092.400024,1064,1068.800049,0.25,304,1070.5,Naik
11/19/2015,1077.400024,1082.900024,1066.800049,1070.5,0.25,304,1054.199951,Turun
11/26/2015,1070.699951,1074.599976,1049.599976,1054.199951,0.25,304,1077.599976,Naik
12/3/2015,1054.400024,1088.800049,1046.199951,1077.599976,0.25,304,1078,Naik
12/10/2015,1073,1079.400024,1060,1078,0.25,229,1069.400024,Turun
12/17/2015,1072.599976,1081.900024,1050.5,1069.400024,0.5,229,1060.099976,Turun
12/24/2015,1074.300049,1098.800049,1059.699951,1060.099976,0.5,229,1091.900024,Naik
12/31/2015,1061.900024,1093.699951,1058.5,1091.900024,0.5,229,1087.5,Turun
1/7/2016,1091.599976,1111.099976,1081.5,1087.5,0.5,269,1107.099976,Naik
1/14/2016,1091.5,1109.800049,1073.699951,1107.099976,0.5,269,1116.099976,Naik
